,occupation,focc,education,race
1,sales,professional,14,non-black
2,craftsmen,sales,13,non-black
3,sales,professional,16,non-black
4,craftsmen,sales,16,non-black
5,operatives,professional,14,non-black
6,professional,operatives,14,non-black
7,craftsmen,craftsmen,12,non-black
8,sales,professional,16,non-black
9,professional,professional,17,non-black
10,craftsmen,professional,16,non-black
11,professional,operatives,15,non-black
12,farm,farm,15,non-black
13,operatives,farm,8,black
14,operatives,operatives,14,non-black
15,craftsmen,craftsmen,12,non-black
16,professional,professional,18,non-black
17,professional,sales,16,non-black
18,craftsmen,professional,14,non-black
19,professional,professional,18,non-black
20,sales,operatives,13,non-black
21,craftsmen,craftsmen,10,non-black
22,professional,craftsmen,14,non-black
23,operatives,farm,12,black
24,professional,professional,16,black
25,sales,operatives,13,black
26,farm,farm,12,non-black
27,operatives,operatives,12,non-black
28,sales,craftsmen,12,non-black
29,operatives,operatives,14,black
30,sales,operatives,7,black
31,professional,professional,16,non-black
32,craftsmen,operatives,12,non-black
33,professional,professional,16,non-black
34,craftsmen,craftsmen,12,non-black
35,professional,professional,14,non-black
36,professional,operatives,4,non-black
37,operatives,operatives,2,non-black
38,operatives,operatives,9,non-black
39,professional,operatives,15,non-black
40,operatives,operatives,10,non-black
41,sales,operatives,13,black
42,professional,sales,19,non-black
43,professional,craftsmen,16,non-black
44,professional,professional,17,non-black
45,operatives,operatives,12,non-black
46,craftsmen,sales,12,non-black
47,professional,sales,16,non-black
48,craftsmen,craftsmen,12,non-black
49,sales,craftsmen,14,non-black
50,craftsmen,craftsmen,12,non-black
51,craftsmen,craftsmen,12,non-black
52,operatives,craftsmen,12,non-black
53,professional,operatives,16,non-black
54,craftsmen,operatives,12,non-black
55,professional,sales,16,non-black
56,professional,sales,13,non-black
57,sales,operatives,16,non-black
58,operatives,craftsmen,12,non-black
59,operatives,farm,13,non-black
60,farm,farm,12,non-black
61,craftsmen,sales,12,non-black
62,professional,sales,18,non-black
63,operatives,sales,9,non-black
64,professional,sales,16,non-black
65,professional,craftsmen,13,non-black
66,sales,professional,16,non-black
67,sales,craftsmen,16,non-black
68,craftsmen,operatives,8,non-black
69,operatives,craftsmen,12,non-black
70,operatives,craftsmen,12,non-black
71,operatives,professional,14,non-black
72,sales,craftsmen,12,non-black
73,professional,operatives,12,non-black
74,craftsmen,sales,15,non-black
75,craftsmen,professional,16,non-black
76,craftsmen,craftsmen,16,non-black
77,professional,farm,19,non-black
78,craftsmen,professional,16,non-black
79,craftsmen,operatives,14,black
80,craftsmen,operatives,12,black
81,craftsmen,craftsmen,10,non-black
82,professional,professional,17,non-black
83,operatives,operatives,10,non-black
84,operatives,operatives,10,non-black
85,craftsmen,operatives,12,non-black
86,craftsmen,craftsmen,12,non-black
87,operatives,craftsmen,12,black
88,craftsmen,farm,10,non-black
89,professional,operatives,16,non-black
90,craftsmen,craftsmen,16,non-black
91,sales,craftsmen,14,non-black
92,operatives,operatives,12,non-black
93,craftsmen,operatives,11,non-black
94,professional,operatives,13,non-black
95,operatives,farm,10,non-black
96,professional,operatives,12,non-black
97,professional,sales,13,non-black
98,craftsmen,professional,14,non-black
99,sales,craftsmen,12,non-black
100,operatives,farm,12,non-black
